group,nnm,nm
휴게소,화성휴게소(목포),화성
JC,팔탄JC,팔탄
IC,비봉IC,비봉
휴게소,매송휴게소(목포),매송
IC,매송IC,매송
터널,용담터널,용담
JC,팔곡JC,팔곡
JC,팔곡JC,팔곡
JC,팔곡JC,팔곡
터널,팔곡터널,팔곡
터널,팔곡터널,팔곡
터널,팔곡터널,팔곡
터널,순산터널,순산
터널,순산터널,순산
터널,순산터널,순산
JC,안산JC,안산
TG,서서울TG,서서울
JC,조남JC,조남
IC,목감IC,목감
IC,광명역IC,광명역
JC,일직JC,일직
IC,금천IC,금천
점,서해안선종점,서해안선종점
JC,서평택JC,서평택
IC,조암IC,조암
JC,마도JC,마도
IC,송산마도IC,송산마도
IC,남안산IC,남안산
JC,군자JC,군자
JC,서평택JC,서평택
IC,조암IC,조암
JC,마도JC,마도
IC,송산마도IC,송산마도
IC,남안산IC,남안산
JC,군자JC,군자
JC,언양JC,언양
TG,울산TG,울산
TG,울산TG,울산
JC,울산JCT,울산
TG,울산TG,울산
IC,울산IC,울산
JC,언양JC,언양
TG,울산TG,울산
TG,울산TG,울산
JC,울산JCT,울산
TG,울산TG,울산
IC,울산IC,울산
IC,오성IC,오성
JC,평택JC,평택
IC,어연IC,어연
TG,북평택TG,북평택
IC,향남IC,향남
JC,서오산JC,서오산
IC,정남IC,정남
JC,화성JC,화성
TG,봉담TG,봉담
TG,서오산TG,서오산
IC,봉담IC,봉담
IC,금곡IC,금곡
IC,당수IC,당수
IC,남군포IC,남군포
JC,동시흥JCT,동시흥
JC,남광명JCT,남광명
IC,소하IC,소하
IC,오성IC,오성
JC,평택JC,평택
IC,어연IC,어연
TG,북평택TG,북평택
IC,향남IC,향남
JC,서오산JC,서오산
IC,정남IC,정남
JC,화성JC,화성
TG,봉담TG,봉담
TG,서오산TG,서오산
IC,봉담IC,봉담
IC,금곡IC,금곡
IC,당수IC,당수
IC,남군포IC,남군포
JC,동시흥JCT,동시흥
JC,남광명JCT,남광명
IC,소하IC,소하
JC,서오산JC,서오산
IC,안녕IC,안녕
JC,서오산JC,서오산
IC,안녕IC,안녕
JC,행주산성JC,행주산성
JC,봉대산JC,봉대산
IC,흥도IC,흥도
JC,고양JC,고양
IC,사리현IC,사리현
IC,북고양IC,북고양
IC,금촌IC,금촌
IC,월롱IC,월롱
IC,산단IC,산단
IC,내포IC,내포
JC,행주산성JC,행주산성
JC,봉대산JC,봉대산
IC,흥도IC,흥도
JC,고양JC,고양
IC,사리현IC,사리현
IC,북고양IC,북고양
IC,금촌IC,금촌
IC,월롱IC,월롱
IC,산단IC,산단
IC,내포IC,내포
IC,남고양IC,남고양
IC,남고양IC,남고양
IC,팔공산IC,팔공산
JC,도동JC,도동
터널,와촌터널,와촌
휴게소,와촌휴게소,와촌
IC,청통와촌IC,청통와촌
JC,화산JC,화산
IC,북영천IC,북영천
IC,임고 하이패스IC,임고 하이패스
터널,임고1터널,임고1
휴게소,영천휴게소(포항),영천
터널,임고4터널,임고4
IC,서포항IC,서포항
터널,달전터널,달전
IC,포항IC,포항
IC,팔공산IC,팔공산
JC,도동JC,도동
터널,와촌터널,와촌
IC,청통와촌IC,청통와촌
휴게소,청통휴게소,청통
JC,화산JC,화산
IC,북영천IC,북영천
IC,임고 하이패스IC,임고 하이패스
터널,임고1터널,임고1
휴게소,영천휴게소(대구),영천
터널,임고4터널,임고4
IC,서포항IC,서포항
터널,달전터널,달전
IC,포항IC,포항
JC,익산JC,익산
IC,완주IC,완주
IC,완주IC,완주
JC,완주JC,완주
IC,소양IC,소양
터널,소양1터널,소양1
터널,소양2터널,소양2
터널,상관1터널,상관1
터널,상관2터널,상관2
터널,곰티터널,곰티
터널,부귀1터널,부귀1
터널,부귀2터널,부귀2
터널,진안1터널,진안1
터널,진안2터널,진안2
휴게소,마이산휴게소(장수),마이산
휴게소,진안휴게소(장수),진안
IC,진안IC,진안
터널,진안3터널,진안3
터널,방곡터널,방곡
터널,장수터널,장수
IC,장수IC,장수
JC,장수JC,장수
JC,익산JC,익산
IC,완주IC,완주
IC,완주IC,완주
JC,완주JC,완주
IC,소양IC,소양
터널,소양1터널,소양1
터널,소양2터널,소양2
터널,상관1터널,상관1
터널,상관2터널,상관2
터널,곰티터널,곰티
터널,부귀1터널,부귀1
터널,부귀2터널,부귀2
터널,진안1터널,진안1
터널,진안2터널,진안2
휴게소,진안휴게소(익산),진안
휴게소,마이산휴게소(익산),마이산
IC,진안IC,진안
터널,진안3터널,진안3
터널,방곡터널,방곡
터널,장수터널,장수
IC,장수IC,장수
JC,장수JC,장수
IC,서순천IC,서순천
터널,순천2터널,순천2
